Járás;Átlag;x;5;25;50;75;95
Bonyhádi;1645;-9,1;1314;1492;1654;1793;1944
Budakeszi;1718;-8,2;1336;1569;1742;1880;2029
Ceglédi;1616;-5,5;1324;1499;1607;1732;1904
Celldömölki;1662;-14,3;1406;1549;1638;1791;1957
Csengeri;1459;-15,1;1129;1350;1455;1601;1760
Csongrádi;1628;-13,3;1320;1504;1640;1773;1905
Csornai;1587;-11,6;1333;1486;1588;1698;1852
Csurgói;1491;-15,5;1229;1401;1486;1581;1758
Dabasi;1596;-7,6;1318;1465;1571;1734;1911
Debreceni;1655;-2,1;1324;1531;1667;1792;1958
Derecskei;1560;-17,1;1324;1474;1555;1628;1828
Devecseri;1549;-33,4;1334;1419;1557;1634;1838
Dombóvári;1636;-7,6;1392;1526;1615;1769;1900
Dunakeszi;1708;-8,4;1372;1587;1728;1847;1965
Dunaújvárosi;1602;-5,2;1288;1482;1604;1724;1900
Edelényi;1455;-9,2;1219;1346;1440;1536;1813
Egri;1652;-3,2;1311;1526;1664;1793;1944
Encsi;1463;-15,1;1106;1305;1446;1605;1881
Érdi;1716;-4,2;1375;1593;1742;1848;1987
Esztergomi;1672;-5,2;1351;1538;1678;1814;1974
Fehérgyarmati;1509;-8,7;1180;1367;1512;1653;1870
Fonyódi;1633;-8,2;1346;1517;1630;1741;1927
Füzesabonyi;1534;-19,8;1302;1424;1530;1618;1767
Gárdonyi;1703;-11,4;1304;1588;1712;1840;1986
Gödöllői;1689;-4,6;1263;1547;1729;1857;1989
Gönci;1458;-14,9;1233;1374;1473;1548;1675
Gyáli;1666;-11,9;1344;1578;1693;1786;1916
Gyomaendrődi;1523;-12,1;1254;1394;1515;1654;1876
Gyöngyösi;1621;-5,8;1263;1492;1630;1758;1929
Győri;1713;-2,6;1419;1595;1714;1838;1998
Gyulai;1583;-8,1;1278;1443;1574;1698;1881
Hajdúböszörményi;1615;-8,7;1282;1467;1616;1761;1945
Hajdúhadházi;1297;-18,1;1127;1227;1281;1356;1489
Hajdúnánási;1567;-8,9;1164;1417;1582;1709;1946
Hajdúszoboszlói;1608;-8,9;1258;1486;1615;1744;1926
Hatvani;1592;-5,6;1304;1472;1581;1720;1902
Hegyháti;1452;-28,3;1066;1339;1483;1572;1664
Hevesi;1515;-13,1;1204;1373;1499;1655;1903
Hódmezővásárhelyi;1656;-7,1;1315;1537;1664;1793;1940
Ibrányi;1503;-23,9;1276;1389;1519;1613;1765
Jánoshalmai;1501;-15,1;1236;1395;1493;1606;1764
Jászapáti;1495;-16,9;1214;1355;1488;1579;1888
Jászberényi;1613;-4,7;1282;1494;1625;1744;1903
Kalocsai;1634;-9;1341;1512;1629;1768;1903
Kaposvári;1643;-3,9;1338;1513;1651;1770;1952
Kapuvári;1657;-14,3;1393;1553;1671;1745;1995
Karcagi;1544;-6,7;1236;1402;1541;1679;1870
Kazincbarcikai;1525;-5,3;1183;1378;1528;1690;1838
Kecskeméti;1693;-3;1372;1574;1703;1823;1967
Kemecsei;1415;-43,8;1029;1299;1425;1526;1715
Keszthelyi;1637;-6,6;1287;1497;1626;1769;1989
Kisbéri;1591;-15,9;1343;1441;1581;1728;1888
Kiskőrösi;1648;-9,1;1369;1533;1649;1758;1921
Kiskunfélegyházi;1624;-5,8;1355;1511;1623;1734;1898
Kiskunhalasi;1667;-6;1381;1551;1667;1781;1933
Kiskunmajsai;1606;-19,1;1309;1487;1624;1715;1902
Kisteleki;1599;-24;1356;1535;1623;1664;1853
Kisvárdai;1556;-5,6;1191;1412;1551;1707;1911
Komáromi;1624;-6,8;1349;1518;1639;1725;1889
Komlói;1603;-10;1351;1498;1604;1709;1892
Körmendi;1604;-19,6;1368;1491;1597;1714;1854
Kőszegi;1730;-8,6;1413;1621;1760;1847;1977
Kunhegyesi;1396;-13;1137;1260;1400;1490;1682
Kunszentmártoni;1597;-11;1350;1494;1606;1700;1827
Kunszentmiklósi;1629;-9,9;1345;1507;1635;1753;1949
Lenti;1630;-20,9;1297;1458;1643;1799;1958
Makói;1623;-7,8;1286;1514;1622;1754;1912
Marcali;1560;-12,5;1228;1417;1545;1705;1859
Mátészalkai;1484;-5,7;1172;1331;1463;1641;1823
Mezőcsáti;1385;-21,5;1070;1251;1392;1521;1642
Mezőkovácsházai;1510;-12,3;1234;1389;1516;1623;1776
Mezőkövesdi;1533;-10,5;1249;1403;1528;1658;1830
Mezőtúri;1589;-8,3;1327;1469;1581;1711;1871
Miskolci;1622;-2,9;1275;1481;1635;1774;1939
Mohácsi;1609;-10,8;1300;1493;1623;1732;1847
Monori;1625;-6,6;1247;1502;1647;1775;1907
Mórahalmi;1556;-18,1;1243;1439;1569;1684;1826
Móri;1615;-9,9;1335;1512;1625;1741;1868
Mosonmagyaróvári;1642;-6,4;1387;1549;1642;1739;1881
Nagyatádi;1561;-9,7;1286;1426;1535;1712;1888
Nagykállói;1490;-8,8;1164;1353;1501;1624;1803
Nagykanizsai;1651;-5,1;1326;1524;1654;1799;1927
Nagykátai;1545;-9,8;1231;1387;1569;1700;1849
Nagykőrösi;1597;-9,4;1294;1464;1604;1724;1863
Nyíradonyi;1555;-21,1;1380;1497;1558;1651;1677
Nyírbátori;1477;-10,5;1173;1304;1471;1639;1815
Nyíregyházi;1625;-3;1283;1492;1641;1765;1924
Orosházi;1636;-7;1339;1493;1639;1765;1939
Oroszlányi;1666;-12;1371;1573;1672;1786;1875
Ózdi;1587;-8,9;1279;1453;1592;1724;1896
Paksi;1706;-6,9;1431;1592;1719;1827;1960
Pannonhalmi;1871;-14,1;1685;1783;1883;1951;2067
Pápai;1661;-6,1;1321;1539;1681;1795;1927
Pásztói;1708;-16,3;1406;1561;1734;1832;1973
Pécsi;1688;-3;1349;1558;1708;1824;1965
Pécsváradi;1506;-23;1124;1406;1541;1594;1744
Pétervásárai;1412;-29,4;1192;1284;1396;1553;1703
Pilisvörösvári;1731;-8,7;1429;1648;1744;1833;1935
Putnoki;1513;-15;1254;1410;1502;1626;1804
Püspökladányi;1469;-14,1;1184;1330;1470;1567;1795
Ráckevei;1652;-8;1303;1530;1670;1776;1966
Salgótarjáni;1576;-6;1268;1440;1577;1714;1894
Sárbogárdi;1777;-17,3;1540;1694;1805;1848;1987
Sarkadi;1541;-20,3;1276;1477;1533;1645;1755
Sárospataki;1644;-8,2;1345;1534;1651;1771;1918
Sárvári;1649;-10,4;1337;1529;1662;1773;1955
Sátoraljaújhelyi;1525;-10,2;1269;1426;1541;1621;1812
Sellyei;1395;-22,1;1159;1312;1377;1457;1680
Siklósi;1540;-12,5;1270;1410;1536;1660;1834
Siófoki;1632;-6,5;1355;1512;1625;1752;1917
Soproni;1705;-3,8;1434;1596;1704;1823;1969
Sümegi;1655;-15,4;1311;1499;1683;1799;1892
Szarvasi;1642;-9,1;1340;1522;1668;1772;1919
Szécsényi;1569;-17,3;1216;1419;1568;1723;1893
Szegedi;1696;-2,9;1377;1576;1707;1822;1986
Szeghalmi;1639;-11,9;1288;1561;1666;1763;1884
Székesfehérvári;1667;-2,9;1362;1537;1672;1799;1961
Szekszárdi;1615;-5;1327;1486;1615;1749;1908
Szentendrei;1759;-6,9;1436;1670;1774;1875;1983
Szentesi;1646;-7,2;1350;1537;1649;1770;1922
Szentgotthárdi;1677;-16,1;1371;1515;1690;1834;1987
Szentlőrinci;1394;-21,7;1098;1285;1387;1497;1650
Szerencsi;1543;-9,9;1309;1423;1542;1661;1818
Szigetszentmiklósi;1684;-5,1;1388;1566;1698;1799;1965
Szigetvári;1527;-17,1;1195;1424;1523;1640;1785
Szikszói;1364;-12,5;1040;1152;1356;1515;1771
Szobi;1594;-33,3;1280;1426;1578;1756;1940
Szolnoki;1632;-3,7;1284;1490;1643;1779;1938
Szombathelyi;1692;-3,5;1408;1579;1696;1812;1976
Tabi;1505;-20,6;1257;1388;1480;1606;1851
Tamási;1578;-11;1289;1465;1600;1691;1861
Tapolcai;1629;-11,9;1318;1527;1616;1751;1908
Tatabányai;1648;-4,1;1341;1521;1656;1778;1939
Tatai;1679;-5,9;1378;1536;1682;1823;1981
Tiszafüredi;1511;-11,1;1204;1402;1504;1636;1805
Tiszakécskei;1602;-13,7;1327;1479;1588;1752;1888
Tiszaújvárosi;1557;-9;1183;1404;1556;1722;1892
Tiszavasvári;1429;-11,7;1104;1291;1404;1581;1817
Tokaji;1588;-7,1;1330;1476;1581;1699;1869
Tolnai;1738;-23,4;1454;1648;1724;1861;1944
Törökszentmiklósi;1470;-11;1177;1328;1450;1619;1807
Váci;1674;-4,1;1351;1547;1682;1811;1969
Várpalotai;1567;-10,5;1274;1458;1580;1678;1858
Vásárosnaményi;1520;-9,6;1167;1396;1535;1630;1831
Vecsési;1661;-18,8;1415;1565;1674;1748;1848
Veszprémi;1698;-4;1373;1583;1707;1827;1982
Záhonyi;1495;-18,2;1267;1398;1484;1598;1734
Zalaegerszegi;1680;-4,8;1382;1559;1680;1809;1957
Zalaszentgróti;1689;-24,2;1460;1601;1697;1770;1960
Zirci;1674;-11,2;1443;1591;1664;1783;1929
